Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Date
Sports Direct,Southeast,Virginia,Richmond,Men's Athletic Footwear,33,117,193.05,Online,3861,2/17/2021
West Gear,West,Utah,Salt Lake City,Men's Street Footwear,29,117,169.65,Online,3393,2/24/2021
West Gear,South,Louisiana,New Orleans,Men's Apparel,92,117,645.84,Online,10764,6/17/2021
West Gear,West,Idaho,Boise,Men's Apparel,52,117,243.36,Online,6084,6/4/2021
Kohl's,West,New Mexico,Albuquerque,Women's Street Footwear,54,117,315.9,Online,6318,11/26/2021
Sports Direct,West,New Mexico,Albuquerque,Women's Apparel,36,117,168.48,Online,4212,1/13/2021
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,43,117,251.55,Online,5031,6/18/2021
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,18,117,105.3,Online,2106,11/17/2021
Sports Direct,South,Mississippi,Jackson,Women's Athletic Footwear,54,117,315.9,Online,6318,11/17/2021
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,14,117,81.9,Online,1638,1/23/2021
West Gear,South,Arkansas,Little Rock,Women's Apparel,73,117,427.05,Online,8541,11/20/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,45,117,263.25,Online,5265,7/19/2021
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,58,117,339.3,Online,6786,6/14/2021
Foot Locker,Northeast,West Virginia,Charleston,Men's Street Footwear,44,117,257.4,Online,5148,11/17/2021
Sports Direct,Northeast,Massachusetts,Boston,Men's Street Footwear,38,117,177.84,Online,4446,4/14/2021
Amazon,Northeast,Vermont,Burlington,Women's Apparel,62,117,362.7,Online,7254,6/12/2021
Foot Locker,Northeast,New Hampshire,Manchester,Men's Street Footwear,68,117,397.8,Online,7956,11/18/2021
Foot Locker,Northeast,New Hampshire,Manchester,Women's Apparel,74,117,432.9,Online,8658,12/17/2021
Sports Direct,South,Texas,Dallas,Women's Athletic Footwear,32,116,222.72,Online,3712,8/26/2021
Kohl's,Midwest,Montana,Billings,Women's Athletic Footwear,41,116,285.36,Online,4756,2/17/2021
Kohl's,Midwest,Montana,Billings,Women's Street Footwear,41,116,285.36,Online,4756,2/22/2021
Foot Locker,West,Wyoming,Cheyenne,Women's Apparel,38,116,176.32,Online,4408,1/24/2021
Sports Direct,Southeast,Virginia,Richmond,Women's Athletic Footwear,29,116,168.2,Online,3364,1/19/2021
Sports Direct,Midwest,Michigan,Detroit,Women's Athletic Footwear,38,116,220.4,Online,4408,10/17/2021
West Gear,West,Oregon,Portland,Men's Athletic Footwear,41,116,237.8,Online,4756,2/17/2021
West Gear,South,Louisiana,New Orleans,Women's Street Footwear,56,116,324.8,Online,6496,3/16/2021
West Gear,West,Idaho,Boise,Women's Apparel,33,116,267.96,Online,3828,3/6/2021
Sports Direct,West,Idaho,Boise,Women's Athletic Footwear,55,116,382.8,Online,6380,9/5/2021
Foot Locker,West,Arizona,Phoenix,Men's Apparel,59,116,273.76,Online,6844,8/23/2021
Kohl's,West,New Mexico,Albuquerque,Women's Street Footwear,55,116,319,Online,6380,4/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Athletic Footwear,51,116,295.8,Online,5916,11/13/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Apparel,64,116,371.2,Online,7424,12/12/2021
Amazon,Midwest,Ohio,Columbus,Men's Apparel,37,116,214.6,Online,4292,10/11/2021
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,32,116,185.6,Online,3712,11/10/2021
Foot Locker,South,Mississippi,Jackson,Men's Apparel,41,116,237.8,Online,4756,5/16/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,28,116,162.4,Online,3248,4/20/2021
Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,41,116,237.8,Online,4756,7/19/2021
Sports Direct,Midwest,North Dakota,Fargo,Men's Street Footwear,49,116,284.2,Online,5684,10/9/2021
West Gear,Midwest,Indiana,Indianapolis,Men's Street Footwear,41,116,237.8,Online,4756,10/10/2021
West Gear,Northeast,West Virginia,Charleston,Men's Athletic Footwear,50,116,290,Online,5800,7/16/2021
Foot Locker,Northeast,Rhode Island,Providence,Women's Apparel,50,116,290,Online,5800,7/6/2021
Amazon,Northeast,Vermont,Burlington,Men's Athletic Footwear,53,116,368.88,Online,6148,6/12/2021
Foot Locker,Northeast,New Hampshire,Manchester,Women's Apparel,78,116,452.4,Online,9048,11/18/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50,116,232,Outlet,5800,12/2/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,23,116,160.08,Outlet,2668,8/16/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,15,116,104.4,Outlet,1740,8/22/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,35,116,203,Outlet,4060,9/22/2021
Walmart,Southeast,Florida,Orlando,Men's Apparel,47,116,109.04,Outlet,5452,10/17/2021
Foot Locker,West,Idaho,Boise,Women's Athletic Footwear,27,116,125.28,Outlet,3132,2/4/2021
West Gear,West,Idaho,Boise,Women's Athletic Footwear,20,116,116,Outlet,2320,4/5/2021
Sports Direct,West,Idaho,Boise,Women's Athletic Footwear,35,116,203,Outlet,4060,10/4/2021
Foot Locker,West,Arizona,Phoenix,Women's Apparel,31,116,107.88,Outlet,3596,2/23/2021
Foot Locker,West,Arizona,Phoenix,Men's Athletic Footwear,38,116,176.32,Outlet,4408,3/22/2021
Foot Locker,West,Arizona,Phoenix,Men's Athletic Footwear,36,116,167.04,Outlet,4176,5/24/2021
Foot Locker,West,Arizona,Phoenix,Women's Athletic Footwear,33,116,153.12,Outlet,3828,11/23/2021
Kohl's,West,New Mexico,Albuquerque,Women's Apparel,56,116,194.88,Outlet,6496,4/26/2021
Foot Locker,South,Mississippi,Jackson,Men's Athletic Footwear,20,116,92.8,Outlet,2320,4/17/2021
Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,24,116,139.2,Outlet,2784,5/16/2021
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,28,116,129.92,Outlet,3248,5/19/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,37,116,171.68,Outlet,4292,6/21/2021
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,11,116,51.04,Outlet,1276,11/20/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,33,116,153.12,Outlet,3828,5/19/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Apparel,43,116,199.52,Outlet,4988,7/19/2021
Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,12,116,55.68,Outlet,1392,1/16/2021
Foot Locker,Northeast,Connecticut,Hartford,Women's Apparel,52,116,241.28,Outlet,6032,11/4/2021
Foot Locker,Northeast,Connecticut,Hartford,Women's Street Footwear,43,116,149.64,Outlet,4988,12/3/2021
Amazon,Northeast,Vermont,Burlington,Women's Street Footwear,34,116,157.76,Outlet,3944,8/11/2021
Amazon,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,43,116,199.52,Outlet,4988,9/17/2021
Foot Locker,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,49,116,227.36,Outlet,5684,12/17/2021
Foot Locker,Midwest,Illinois,Chicago,Men's Street Footwear,56,115,322,Online,6440,7/24/2021
Kohl's,Midwest,Montana,Billings,Men's Athletic Footwear,41,115,188.6,Online,4715,1/10/2021
Sports Direct,West,Hawaii,Honolulu,Men's Street Footwear,38,115,174.8,Online,4370,1/17/2021
Sports Direct,Southeast,Florida,Orlando,Women's Street Footwear,59,115,271.4,Online,6785,3/16/2021
West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,14,115,64.4,Online,1610,2/11/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,19,115,109.25,Online,2185,6/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,23,115,132.25,Online,2645,7/10/2021
Kohl's,West,Arizona,Phoenix,Women's Athletic Footwear,44,115,253,Online,5060,12/22/2021
Kohl's,West,New Mexico,Albuquerque,Women's Apparel,69,115,317.4,Online,7935,5/27/2021
Kohl's,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,115,316.25,Online,6325,11/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Street Footwear,54,115,310.5,Online,6210,11/13/2021
Amazon,Southeast,Kentucky,Louisville,Women's Apparel,50,115,287.5,Online,5750,7/21/2021
Foot Locker,Southeast,Kentucky,Louisville,Men's Apparel,38,115,218.5,Online,4370,1/20/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,19,115,109.25,Online,2185,2/21/2021
West Gear,Northeast,West Virginia,Charleston,Women's Apparel,59,115,339.25,Online,6785,6/17/2021
West Gear,Northeast,West Virginia,Charleston,Women's Apparel,54,115,310.5,Online,6210,8/17/2021
West Gear,Northeast,West Virginia,Charleston,Men's Street Footwear,41,115,235.75,Online,4715,10/17/2021
Foot Locker,Northeast,Connecticut,Hartford,Men's Street Footwear,34,115,195.5,Online,3910,1/10/2021
Amazon,Northeast,Vermont,Burlington,Men's Athletic Footwear,51,115,351.9,Online,5865,7/10/2021
Amazon,Northeast,New Hampshire,Manchester,Women's Apparel,65,115,373.75,Online,7475,5/17/2021
Foot Locker,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,59,115,339.25,Online,6785,12/17/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,31,114,141.36,Outlet,3534,8/5/2021
Sports Direct,Southeast,Florida,Orlando,Women's Athletic Footwear,42,114,191.52,Outlet,4788,3/16/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Street Footwear,41,114,186.96,Outlet,4674,4/24/2021
West Gear,West,Utah,Salt Lake City,Men's Apparel,16,114,72.96,Outlet,1824,9/12/2021
West Gear,West,Oregon,Portland,Women's Street Footwear,47,114,214.32,Outlet,5358,4/24/2021
West Gear,West,Oregon,Portland,Women's Athletic Footwear,34,114,155.04,Outlet,3876,10/24/2021
Kohl's,West,New Mexico,Albuquerque,Men's Apparel,41,114,140.22,Outlet,4674,10/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Athletic Footwear,34,114,155.04,Outlet,3876,5/14/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Athletic Footwear,32,114,145.92,Outlet,3648,10/13/2021
Kohl's,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,45,114,256.5,Outlet,5130,12/19/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Athletic Footwear,32,114,145.92,Outlet,3648,7/6/2021
Sports Direct,Northeast,Massachusetts,Boston,Men's Athletic Footwear,36,114,123.12,Outlet,4104,6/15/2021
Amazon,Northeast,Vermont,Burlington,Men's Apparel,39,114,177.84,Outlet,4446,7/10/2021
Amazon,Northeast,New Hampshire,Manchester,Men's Apparel,47,114,214.32,Outlet,5358,6/19/2021
Foot Locker,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,42,114,191.52,Outlet,4788,11/18/2021
Foot Locker,Northeast,New Hampshire,Manchester,Women's Street Footwear,51,114,174.42,Outlet,5814,11/18/2021
Foot Locker,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,43,114,147.06,Outlet,4902,11/18/2021
Kohl's,West,California,Los Angeles,Men's Apparel,46,113,363.86,Online,5198,3/17/2021
Foot Locker,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,66,113,522.06,Online,7458,12/21/2021
Kohl's,Midwest,Montana,Billings,Women's Athletic Footwear,36,113,203.4,Online,4068,2/5/2021
Kohl's,Midwest,Montana,Billings,Men's Apparel,51,113,403.41,Online,5763,3/2/2021
Sports Direct,South,Tennessee,Knoxville,Men's Apparel,51,113,288.15,Online,5763,5/13/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,18,113,142.38,Online,2034,8/22/2021
Amazon,Northeast,Maine,Portland,Women's Apparel,58,113,327.7,Online,6554,12/20/2021
Amazon,West,Alaska,Anchorage,Men's Street Footwear,68,113,384.2,Online,7684,10/22/2021
Foot Locker,West,Alaska,Anchorage,Women's Street Footwear,41,113,185.32,Online,4633,1/10/2021
Walmart,West,Hawaii,Honolulu,Men's Apparel,83,113,281.37,Online,9379,11/10/2021
Walmart,Southeast,Florida,Orlando,Women's Athletic Footwear,51,113,230.52,Online,5763,10/17/2021
Foot Locker,West,Wyoming,Cheyenne,Men's Street Footwear,27,113,152.55,Online,3051,2/24/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Street Footwear,46,113,259.9,Online,5198,9/25/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Athletic Footwear,52,113,293.8,Online,5876,9/25/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Athletic Footwear,52,113,293.8,Online,5876,11/24/2021
Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,19,113,107.35,Online,2147,2/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,23,113,129.95,Online,2599,6/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,32,113,180.8,Online,3616,12/17/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,29,113,163.85,Online,3277,8/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,19,113,107.35,Online,2147,11/11/2021
West Gear,West,Utah,Salt Lake City,Women's Apparel,43,113,340.13,Online,4859,11/11/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,29,113,163.85,Online,3277,12/10/2021
Foot Locker,West,Idaho,Boise,Women's Street Footwear,28,113,158.2,Online,3164,3/6/2021
West Gear,West,Idaho,Boise,Women's Athletic Footwear,29,113,163.85,Online,3277,4/5/2021
Foot Locker,West,Idaho,Boise,Men's Athletic Footwear,38,113,214.7,Online,4294,2/23/2021
Foot Locker,West,Arizona,Phoenix,Men's Athletic Footwear,53,113,299.45,Online,5989,5/24/2021
Foot Locker,West,Arizona,Phoenix,Women's Street Footwear,54,113,305.1,Online,6102,8/23/2021
Foot Locker,West,Arizona,Phoenix,Women's Athletic Footwear,41,113,231.65,Online,4633,9/24/2021
Kohl's,West,New Mexico,Albuquerque,Men's Apparel,65,113,293.8,Online,7345,11/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Street Footwear,49,113,276.85,Online,5537,3/12/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Athletic Footwear,53,113,299.45,Online,5989,8/13/2021
Amazon,Midwest,Ohio,Columbus,Men's Apparel,37,113,209.05,Online,4181,3/9/2021
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,24,113,135.6,Online,2712,9/9/2021
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,38,113,214.7,Online,4294,5/19/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,48,113,271.2,Online,5424,8/20/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,51,113,288.15,Online,5763,8/20/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,47,113,265.55,Online,5311,8/20/2021
Kohl's,Midwest,Kansas,Wichita,Women's Apparel,52,113,293.8,Online,5876,8/13/2021
Foot Locker,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,38,113,214.7,Online,4294,4/12/2021
Sports Direct,Midwest,North Dakota,Fargo,Men's Street Footwear,28,113,158.2,Online,3164,4/9/2021
Foot Locker,Midwest,North Dakota,Fargo,Men's Street Footwear,27,113,122.04,Online,3051,1/6/2021
West Gear,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,43,113,194.36,Online,4859,10/3/2021
Sports Direct,Northeast,Maryland,Baltimore,Men's Street Footwear,52,113,293.8,Online,5876,10/22/2021
Sports Direct,Northeast,Connecticut,Hartford,Women's Apparel,55,113,310.75,Online,6215,5/3/2021
Sports Direct,Northeast,Connecticut,Hartford,Men's Street Footwear,59,113,400.02,Online,6667,10/5/2021
Amazon,Northeast,Massachusetts,Boston,Men's Street Footwear,62,113,280.24,Online,7006,11/14/2021
Amazon,Northeast,Vermont,Burlington,Women's Street Footwear,55,113,310.75,Online,6215,12/10/2021
Sports Direct,South,Texas,Dallas,Men's Apparel,26,113,88.14,Outlet,2938,8/15/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,24,113,135.6,Outlet,2712,8/10/2021
Walmart,Southeast,Florida,Orlando,Women's Apparel,57,113,322.05,Outlet,6441,4/17/2021
Foot Locker,West,Arizona,Phoenix,Women's Athletic Footwear,36,113,162.72,Outlet,4068,7/22/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Athletic Footwear,37,113,167.24,Outlet,4181,3/12/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Street Footwear,36,113,162.72,Outlet,4068,4/13/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,40,113,180.8,Outlet,4520,8/20/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,38,113,214.7,Outlet,4294,8/20/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,37,113,167.24,Outlet,4181,10/8/2021
Amazon,Northeast,Massachusetts,Boston,Men's Athletic Footwear,37,113,125.43,Outlet,4181,12/13/2021
Amazon,Northeast,New Hampshire,Manchester,Women's Street Footwear,39,113,132.21,Outlet,4407,8/18/2021
Foot Locker,Midwest,Illinois,Chicago,Men's Street Footwear,55,112,308,Online,6160,7/30/2021
Kohl's,Midwest,Montana,Billings,Women's Apparel,42,112,188.16,Online,4704,1/14/2021
Kohl's,Midwest,Montana,Billings,Women's Apparel,56,112,250.88,Online,6272,2/13/2021
Sports Direct,South,Tennessee,Knoxville,Women's Athletic Footwear,23,112,154.56,Online,2576,3/31/2021
Foot Locker,Midwest,Nebraska,Omaha,Men's Street Footwear,38,112,212.8,Online,4256,7/8/2021
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,55,112,308,Online,6160,6/22/2021
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,60,112,336,Online,6720,12/20/2021
Walmart,Southeast,Florida,Orlando,Women's Street Footwear,55,112,246.4,Online,6160,10/17/2021
Kohl's,West,Wyoming,Cheyenne,Women's Athletic Footwear,33,112,184.8,Online,3696,3/10/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Apparel,48,112,322.56,Online,5376,10/17/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,18,112,100.8,Online,2016,3/10/2021
West Gear,West,Utah,Salt Lake City,Women's Apparel,24,112,161.28,Online,2688,4/11/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,24,112,134.4,Online,2688,6/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,27,112,151.2,Online,3024,12/10/2021
West Gear,West,Utah,Salt Lake City,Men's Apparel,38,112,212.8,Online,4256,12/10/2021
West Gear,West,Oregon,Portland,Women's Street Footwear,43,112,240.8,Online,4816,1/17/2021
West Gear,South,Louisiana,New Orleans,Women's Street Footwear,49,112,274.4,Online,5488,5/18/2021
West Gear,South,Louisiana,New Orleans,Men's Street Footwear,34,112,190.4,Online,3808,10/17/2021
Foot Locker,West,Arizona,Phoenix,Women's Athletic Footwear,52,112,291.2,Online,5824,8/23/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,51,112,285.6,Online,5712,3/25/2021
Kohl's,West,New Mexico,Albuquerque,Women's Street Footwear,52,112,291.2,Online,5824,3/25/2021
Sports Direct,West,New Mexico,Albuquerque,Men's Athletic Footwear,37,112,248.64,Online,4144,2/13/2021
Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,29,112,162.4,Online,3248,10/11/2021
West Gear,South,Arkansas,Little Rock,Men's Apparel,64,112,358.4,Online,7168,12/19/2021
Foot Locker,Midwest,Kansas,Wichita,Women's Apparel,68,112,380.8,Online,7616,12/12/2021
Foot Locker,Midwest,Iowa,Des Moines,Men's Street Footwear,43,112,192.64,Online,4816,10/6/2021
West Gear,Midwest,Iowa,Des Moines,Men's Street Footwear,41,112,183.68,Online,4592,11/6/2021
West Gear,Northeast,West Virginia,Charleston,Women's Street Footwear,50,112,280,Online,5600,12/16/2021
Sports Direct,Northeast,Connecticut,Hartford,Men's Athletic Footwear,48,112,268.8,Online,5376,7/3/2021
Foot Locker,Northeast,Connecticut,Hartford,Women's Apparel,67,112,375.2,Online,7504,12/3/2021
Amazon,Northeast,Massachusetts,Boston,Women's Apparel,65,112,291.2,Online,7280,12/13/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Street Footwear,43,112,192.64,Outlet,4816,3/23/2021
West Gear,West,Oregon,Portland,Women's Street Footwear,41,112,183.68,Outlet,4592,3/23/2021
West Gear,South,Louisiana,New Orleans,Men's Apparel,39,112,218.4,Outlet,4368,10/17/2021
Foot Locker,West,Idaho,Boise,Women's Athletic Footwear,26,112,145.6,Outlet,2912,3/6/2021
Kohl's,West,New Mexico,Albuquerque,Women's Athletic Footwear,35,112,156.8,Outlet,3920,10/26/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Apparel,40,112,134.4,Outlet,4480,3/12/2021
Sports Direct,Southeast,Georgia,Atlanta,Women's Apparel,56,112,188.16,Outlet,6272,4/13/2021
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,17,112,76.16,Outlet,1904,2/21/2021
Walmart,South,Arkansas,Little Rock,Women's Street Footwear,8,112,35.84,Outlet,896,3/19/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,20,112,112,Outlet,2240,3/19/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,14,112,78.4,Outlet,1568,2/21/2021
West Gear,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,14,112,62.72,Outlet,1568,10/21/2021
Sports Direct,Northeast,Massachusetts,Boston,Men's Athletic Footwear,33,112,110.88,Outlet,3696,8/14/2021
Amazon,Northeast,Massachusetts,Boston,Women's Street Footwear,36,112,120.96,Outlet,4032,12/13/2021
Sports Direct,South,Texas,Dallas,Women's Athletic Footwear,41,111,273.06,Online,4551,10/7/2021
Foot Locker,South,Texas,Dallas,Men's Street Footwear,44,111,341.88,Online,4884,10/22/2021
Kohl's,Midwest,Montana,Billings,Women's Street Footwear,44,111,293.04,Online,4884,1/23/2021
Sports Direct,South,Tennessee,Knoxville,Women's Apparel,33,111,256.41,Online,3663,3/27/2021
Sports Direct,South,Alabama,Birmingham,Men's Apparel,48,111,319.68,Online,5328,10/4/2021
Amazon,West,Alaska,Anchorage,Men's Athletic Footwear,59,111,327.45,Online,6549,7/20/2021
Sports Direct,West,Hawaii,Honolulu,Men's Athletic Footwear,49,111,163.17,Online,5439,2/17/2021
Sports Direct,West,Hawaii,Honolulu,Women's Street Footwear,49,111,217.56,Online,5439,2/17/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Athletic Footwear,66,111,366.3,Online,7326,8/24/2021
Foot Locker,Southeast,Virginia,Richmond,Men's Apparel,73,111,486.18,Online,8103,11/24/2021
Sports Direct,Midwest,Michigan,Detroit,Men's Athletic Footwear,38,111,210.9,Online,4218,4/16/2021
West Gear,West,Oregon,Portland,Men's Apparel,68,111,377.4,Online,7548,11/24/2021
Foot Locker,West,Idaho,Boise,Women's Apparel,36,111,159.84,Online,3996,1/23/2021
Foot Locker,West,Arizona,Phoenix,Women's Apparel,55,111,244.2,Online,6105,11/23/2021
Kohl's,West,Arizona,Phoenix,Women's Street Footwear,41,111,227.55,Online,4551,2/26/2021
Kohl's,West,New Mexico,Albuquerque,Men's Athletic Footwear,58,111,321.9,Online,6438,5/27/2021
Kohl's,West,New Mexico,Albuquerque,Men's Apparel,54,111,239.76,Online,5994,9/27/2021
Amazon,Midwest,Ohio,Columbus,Men's Athletic Footwear,28,111,155.4,Online,3108,4/10/2021
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,28,111,155.4,Online,3108,11/17/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,44,111,293.04,Online,4884,5/19/2021
Kohl's,Midwest,Kansas,Wichita,Men's Athletic Footwear,51,111,283.05,Online,5661,8/13/2021
Foot Locker,Northeast,Connecticut,Hartford,Men's Street Footwear,60,111,333,Online,6660,11/4/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,34,111,188.7,Online,3774,3/6/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,32,111,177.6,Online,3552,4/7/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Street Footwear,45,111,249.75,Online,4995,9/6/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,111,88.8,Outlet,2220,4/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,7,111,38.85,Outlet,777,9/12/2021
Foot Locker,South,Louisiana,New Orleans,Men's Apparel,28,111,93.24,Outlet,3108,1/5/2021
Foot Locker,West,Arizona,Phoenix,Women's Apparel,49,111,163.17,Outlet,5439,4/23/2021
Foot Locker,West,Arizona,Phoenix,Women's Street Footwear,31,111,137.64,Outlet,3441,10/23/2021
Sports Direct,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40,111,177.6,Outlet,4440,4/13/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,23,111,102.12,Outlet,2553,2/21/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,32,111,142.08,Outlet,3552,5/19/2021
Walmart,South,Arkansas,Little Rock,Men's Apparel,18,111,79.92,Outlet,1998,9/19/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,22,111,97.68,Outlet,2442,4/20/2021
West Gear,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,32,111,142.08,Outlet,3552,8/20/2021
Sports Direct,Northeast,Connecticut,Hartford,Women's Street Footwear,29,111,96.57,Outlet,3219,7/3/2021
Foot Locker,Northeast,Rhode Island,Providence,Men's Athletic Footwear,31,111,137.64,Outlet,3441,8/7/2021
Sports Direct,Northeast,Rhode Island,Providence,Women's Apparel,51,111,226.44,Outlet,5661,12/6/2021
Amazon,Northeast,Vermont,Burlington,Men's Athletic Footwear,42,111,233.1,Outlet,4662,9/10/2021
Amazon,Northeast,Vermont,Burlington,Men's Athletic Footwear,39,111,173.16,Outlet,4329,1/21/2021
West Gear,Northeast,Maine,Portland,Men's Athletic Footwear,41,109,134.07,Online,4469,1/10/2021
Foot Locker,West,Alaska,Anchorage,Men's Street Footwear,33,109,143.88,Online,3597,1/10/2021
Foot Locker,West,Alaska,Anchorage,Men's Athletic Footwear,43,109,140.61,Online,4687,1/10/2021
Walmart,Southeast,Florida,Orlando,Women's Apparel,72,109,470.88,Online,7848,4/17/2021
Sports Direct,Midwest,Michigan,Detroit,Women's Athletic Footwear,28,109,152.6,Online,3052,2/17/2021
Sports Direct,Midwest,Michigan,Detroit,Women's Athletic Footwear,32,109,174.4,Online,3488,4/16/2021
Foot Locker,West,Idaho,Boise,Women's Athletic Footwear,32,109,174.4,Online,3488,2/4/2021
Foot Locker,South,Mississippi,Jackson,Men's Athletic Footwear,23,109,125.35,Online,2507,4/17/2021
West Gear,South,Arkansas,Little Rock,Women's Athletic Footwear,51,109,277.95,Online,5559,11/20/2021
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,25,109,136.25,Online,2725,1/23/2021
Kohl's,Northeast,Delaware,Wilmington,Women's Street Footwear,50,109,272.5,Online,5450,12/13/2021
Amazon,Northeast,New Hampshire,Manchester,Women's Street Footwear,54,109,235.44,Online,5886,7/17/2021
Sports Direct,South,Tennessee,Knoxville,Men's Apparel,28,109,122.08,Outlet,3052,5/7/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Street Footwear,37,109,161.32,Outlet,4033,5/25/2021
Foot Locker,Southeast,Virginia,Richmond,Women's Apparel,40,109,130.8,Outlet,4360,10/24/2021
